Timespan, 1950-2100
Scenario, fullstop;2025
Used parameters below
f_MP, 0.14
f_shelf, 0.08
f_ocean, 0.92
M_P_discard, 4214.0
M_MP_discard, 686.0000000000001
M_sMP_discard, 500
M_P_SurfOcean, 0.23
M_MP_SurfOcean, 0.036
M_sMP_SurfOcean, 0.0028
M_MPsMP_DeepOcean, 80
M_sMP_atmo, 0.0036
M_sMP_soil, 29
M_P_beach, 1.32
M_MP_beach, 0.52
M_P_ShelfSed, 50.6
M_MP_ShelfSed, 65.3
M_Incinerated, 800
M_recycled, 750
F_river_tot, 10
F_sMP_oce_to_atm, 8.6
F_sMP_atm_to_oce, 7.6
F_sMP_atm_to_soil, 1.15
F_sMP_DiscInuse_to_atm, 0.183
LB19, 0.03
k_SurfOce_P_to_MP, 0.03
k_SurfOce_MP_to_sMP, 0.03
k_beach_P_to_MP, 0.03
k_beach_MP_to_sMP, 0.03
k_DeepOce_MP_to_sMP, 0.03
CF1, 1
k_Disc_P_to_MP, 0.03
k_Disc_MP_to_sMP, 0.03
k_P_surf_to_deep_oce, 0
k_MP_surf_to_deep_oce, 196
k_sMP_surf_to_deep_oce, 32.5
f_P_river, 0.5
f_MPsMP_river, 0.5
k_P_Disc_to_river, 0.0011865211200759373
k_MP_Disc_to_river, 0.007288629737609328
k_sMP_Disc_to_river, 0.007288629737609328
k_Disc_sMP_to_atm, 0.000366
k_SurfOce_P_beach, 4.004
k_SurfOce_MP_beach, 4.004
k_SurfOce_P_ShelfSed, 1367
k_SurfOce_MP_ShelfSed, 196
k_SurfOce_sMP_ShelfSed, 32.5
k_DeepOce_MP_DeepSed, 0.00123
k_DeepOce_sMP_DeepSed, 0.000203
k_sMP_oce_to_atm, 3071.4285714285716
k_sMP_soil_to_atm, 0.000366
k_sMP_atm_to_oce, 2111.111111111111
k_sMP_atm_to_soil, 319.4444444444444
k_sMP_soil_to_oce, 0.007288629737609328
k_P_beached_to_oce, 0
k_MP_beached_to_oce, 0
###############
Data below
,Year,P_prod_tot,P_waste_tot,P_rec_tot,P_inc_tot,P_disc_tot,MP_disc_tot,P_use,P_disc,MP_disc,sMP_disc,P_SurfOce,MP_SurfOce,sMP_SurfOce,MP_DeepOce,sMP_DeepOce,sMP_atm,sMP_soil,P_beach,MP_beach,sMP_beach,P_ShelfSed,MP_ShelfSed,sMP_ShelfSed,MP_DeepSed,sMP_DeepSed,F_atm_to_soil
0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1950.1,0.9978927258066143,0.15230412645550775,0.0,0.0,0.13098154875173665,0.021322577703771082,0.8455885993511058,0.13077691752953563,0.021479356715440677,3.2226924758486224e-05,1.2487653685506396e-06,7.437463151148127e-07,-3.9806796542452634e-07,6.3845938299705306e-06,8.886708531631855e-09,4.221350322210309e-07,-1.7807411207680492e-08,2.3059742503268876e-07,1.419892756240902e-07,1.3560460314167154e-10,6.304084876734607e-06,5.557342565132e-07,2.423236273679327e-10,2.501007849972716e-10,3.232937432609872e-14,-1.7805974802598822e-08
2,1950.2,1.983368375673969,0.30196197915212186,0.0,0.0,0.2596873020708248,0.04227467708129704,1.6814063965218433,0.2588743920662536,0.04289654926739071,0.0001287482250972115,2.591578136545887e-06,1.5244345882370412e-06,-2.622725917690344e-06,2.6789653474500698e-05,7.15299310567239e-08,2.7779641830063546e-06,-1.0586995150740569e-07,9.986472386589394e-07,5.968324397566158e-07,1.1654555082673381e-09,2.732829476507355e-05,2.3342746212976368e-06,1.6671741189707994e-09,2.146677701543517e-09,5.64032013970704e-13,-1.0584675513411259e-07
3,1950.3,2.956643765252256,0.44906251574629835,0.0,0.0,0.38619376354181656,0.0628687522044818,2.507581249505953,0.3843771513172845,0.06425634350077872,0.00028933536240688797,3.907163862357623e-06,2.3030184467802863e-06,-7.415285921327499e-07,6.116727839586359e-05,2.0007218909200032e-07,7.956817716774053e-07,1.5679063644804755e-07,2.295778201341856e-06,1.3651021119499686e-06,4.030024599865548e-09,6.288782637461694e-05,5.335261044475332e-06,1.6751948043045257e-09,7.413225974748424e-09,2.9407855121970878e-12,1.5690757670672452e-07
4,1950.4,3.9179357101989316,0.5936949571315071,0.0,0.0,0.5105776631330954,0.08311729399841106,3.3242407530674214,0.507369885196328,0.08556377796013849,0.0005137746742377198,5.196407293256737e-06,3.0796811164623204e-06,7.895904857280787e-07,0.00010943764808864748,4.646187143965337e-07,-8.138977138392415e-07,5.334724327721183e-07,4.1096967992945165e-06,2.446620736740282e-06,9.669315814846319e-09,0.00011268975636496926,9.555536156611532e-06,2.7281610986137236e-09,1.776342575196059e-08,9.42487070923265e-12,5.338424611533749e-07
5,1950.5,4.867461026163555,0.7359487874269897,0.0,0.0,0.6329159571872107,0.10303283023977866,4.131512238736559,0.6279372459316569,0.1068241627600867,0.0008018681790117353,6.460194239714555e-06,3.854615720783897e-06,2.252885548685425e-06,0.00017152457892248573,9.084802095598438e-07,-2.349180190239009e-06,1.0872182220108975e-06,6.428500518490839e-06,3.841250286111757e-06,1.902285846050885e-08,0.0001764508493694797,1.4992237651844896e-05,4.978320903150069e-09,3.490136121321526e-08,2.3193343827932497e-11,1.0881222510425521e-06
6,1950.6,5.805436528802387,0.8759137540042964,0.0,0.0,0.7532858284436942,0.12262792556060155,4.929522774798091,0.7461638482062615,0.12804307846562174,0.0011534343767402415,7.69941011924425e-06,4.628025239625259e-06,1.7035288211407389e-06,0.00024735569062183597,1.5872158470047186e-06,-1.7540956101856773e-06,1.7399753262808854e-06,9.240676567321843e-06,5.5488972592129075e-06,3.302983330536608e-08,0.00025389755509469146,2.1642813774672692e-05,9.662466956140036e-09,6.052197815841093e-08,4.833173262420784e-11,1.7418505678106325e-06
7,1950.7,6.732079033771548,1.0136798674409435,0.0,0.0,0.8717646859992101,0.14191518144173182,5.718399166330603,0.8621342692349343,0.14922637496676391,0.0015683090457689315,8.914939957228547e-06,5.40012246821936e-06,-9.006939852301662e-07,0.0003368625714910403,2.545504396454875e-06,1.0159802028504514e-06,2.5339876500121093e-06,1.2535100552283388e-05,7.569517646800587e-06,5.2629213616122607e-08,0.00034476600402863017,2.950503874266926e-05,1.708971644690329e-08,9.631156199415749e-08,8.983034689486367e-11,2.537461870833861e-06
8,1950.8,7.647605356720596,1.1493374015750004,0.0,0.0,0.9884301653544986,0.1609072362204997,6.498267955145589,0.9759330489278811,0.1703801703717775,0.0020463460355515735,1.0107668388479573e-05,6.171129976793166e-06,-1.2803213299804396e-06,0.0004399809423882033,3.803601694290244e-06,1.4367883169011398e-06,3.784917489944103e-06,1.6301035157983592e-05,9.903121860508592e-06,7.875992103497218e-08,0.00044880200315872967,3.8577028105104676e-05,2.5462842629556984e-08,1.4394823596591692e-07,1.5358048422030864e-10,3.790842956722219e-06
9,1950.9,8.552232313307446,1.282976893482152,0.0,0.0,1.103360128394648,0.17961676508750093,7.2692554198253,1.0876446899870906,0.19151084989418518,0.0025874180555134564,1.1278479658545868e-05,6.94128007010442e-06,-1.990081837189413e-07,0.0005566508194651866,5.4098313576864495e-06,3.156628501652715e-07,5.489134504411278e-06,2.052812883186315e-05,1.2549779627358317e-05,1.1236099619303535e-07,0.000565761031710537,4.885725403863292e-05,3.5441584910684244e-08,2.0510247948392135e-07,2.4636839425935166e-10,5.498622697667564e-06
10,1951.0,9.446176719181663,1.4146891434518858,0.0,0.0,1.2166326633686173,0.1980564800832636,8.031487575729784,1.197353658001819,0.21262506474396753,0.0031914174599537064,1.2428257624387755e-05,7.710814746890936e-06,1.3577495501741416e-06,0.0006868166756657941,7.413582127655705e-06,-1.3055306320842512e-06,7.628881491608623e-06,2.520641447306398e-05,1.5509624849365405e-05,1.5437178395414099e-07,0.0006954082368920872,6.0344560579019555e-05,4.779344988367326e-08,2.8143766638823645e-07,3.758725488941593e-10,7.643337310931502e-06
11,1951.1,10.329655389998699,1.5445652150499507,0.0,0.0,1.3283260849429541,0.21623913010699305,8.78509017494876,1.3051443816177393,0.23372973103543485,0.003858257029067189,1.3557885756336283e-05,8.479985660178847e-06,1.1948814884879587e-06,0.0008304276010021239,9.870857447108318e-06,-1.1061613161228428e-06,1.0109772149534232e-05,3.0326308125897634e-05,1.878286042872029e-05,2.0573213318665685e-07,0.000837518429656703,7.303817879031774e-05,6.387509943902474e-08,3.74610623004552e-07,5.506599661393649e-10,1.0130928148120055e-05
12,1951.2,11.202885141413914,1.6726964350236888,0.0,0.0,1.4385189341203706,0.23417750090331668,9.530188706390222,1.4111012525707107,0.2548320286774451,0.0045878707460533545,1.4668247138445143e-05,9.249054076805863e-06,2.1661552365169386e-07,0.000987437461606619,1.2820145179007917e-05,-4.218151233601633e-08,1.3033526539884592e-05,3.5878607677596134e-05,2.2369763058517372e-05,2.6738261095856013e-07,0.0009918760804758576,8.693774187094017e-05,8.353283996687629e-08,4.86272205837549e-07,7.801839660222317e-10,1.3063476718569653e-05
13,1951.3,12.066082789079177,1.7991743934051694,0.0,0.0,1.5472899783284428,0.25188441507672377,10.266908395674013,1.515308625890281,0.2759394002957683,0.0053802145703537125,1.5760224470493603e-05,1.001829083810541e-05,-6.464224337808947e-07,0.0011578050575703552,1.6299652785598218e-05,9.025493253449503e-07,1.6503493865361917e-05,4.185449156043293e-05,2.6270687979298223e-05,3.402647310529534e-07,0.0011582753151248512,0.00010204330019721237,1.0660006673307066e-07,6.180678987521915e-07,1.0747806660385884e-09,1.6544727707903928e-05
14,1951.4,12.919465148650108,1.9240909434440376,0.0,0.0,1.6547182113618695,0.26937273208216533,10.99537420520608,1.6178508199562553,0.2970595501361176,0.006235267207051816,1.6834700068781742e-05,1.0787976320024037e-05,-1.5260243497395923e-06,0.0013414942795795914,2.035342488629114e-05,1.8673628489126429e-06,2.055575408856594e-05,4.824551745842822e-05,3.048607370171135e-05,4.253211967039442e-07,0.0013365199104876145,0.00011835533630513413,1.3342791761406798e-07,7.716384294980613e-07,1.445666223347321e-09,2.0611190669946072e-05
